Order_ID,Order_Time,Delivered_Time,Delay_Minutes,City,Category,Rider_ID,Customer_ID,Delivery_Slot,Order_Status,Customer_Rating,Year
ORD00001,2024-10-30 04:45:00,2024-10-30 05:40:00,45.0,Bangalore,Beverages,RID314,CUST5426,Evening,Late,5.0,2024
ORD00002,2022-06-27 10:49:00,2022-06-27 11:19:00,20.0,Hyderabad,Vegetables,RID357,CUST7949,Afternoon,Late,2.0,2022
ORD00003,2024-09-28 23:29:00,2024-09-28 23:39:00,0.0,Pune,Household,RID148,CUST9666,Evening,Delivered,4.0,2024
ORD00004,2023-04-08 07:16:00,2023-04-08 07:26:00,0.0,Hyderabad,Beverages,RID463,CUST8734,Night,Delivered,5.0,2023
ORD00005,2024-03-12 01:02:00,2024-03-12 01:17:00,5.0,Bangalore,Household,RID266,CUST6393,Night,Delivered,5.0,2024
ORD00006,2022-03-31 01:51:00,2022-03-31 02:31:00,30.0,Chennai,Vegetables,RID485,CUST7235,Evening,Late,5.0,2022
ORD00007,2022-09-09 17:33:00,,,Hyderabad,Dairy,RID149,CUST4943,Night,Cancelled,,2022
ORD00008,2023-12-06 21:56:00,2023-12-06 22:06:00,0.0,Chennai,Snacks,RID317,CUST6675,Afternoon,Delivered,3.0,2023
ORD00009,2024-08-18 06:31:00,2024-08-18 06:41:00,0.0,Hyderabad,Personal Care,RID314,CUST2016,Afternoon,Delivered,4.0,2024
ORD00010,2024-11-29 21:42:00,2024-11-29 21:52:00,0.0,Pune,Household,RID351,CUST7331,Night,Delivered,3.0,2024
ORD00011,2024-03-31 17:28:00,2024-03-31 17:38:00,0.0,Pune,Bakery,RID108,CUST6463,Morning,Delivered,5.0,2024
ORD00012,2022-03-21 07:58:00,2022-03-21 08:08:00,0.0,Bangalore,Beverages,RID388,CUST6892,Afternoon,Delivered,3.0,2022
ORD00013,2024-04-15 14:21:00,2024-04-15 14:31:00,0.0,Delhi,Snacks,RID132,CUST8215,Evening,Delivered,5.0,2024
ORD00014,2022-09-21 10:50:00,2022-09-21 11:00:00,0.0,Pune,Beverages,RID326,CUST9110,Afternoon,Delivered,5.0,2022
ORD00015,2022-01-11 04:22:00,2022-01-11 04:47:00,15.0,Pune,Bakery,RID382,CUST5488,Evening,Delivered,4.0,2022
ORD00016,2023-09-16 04:55:00,2023-09-16 05:05:00,0.0,Mumbai,Bakery,RID340,CUST9755,Morning,Delivered,4.0,2023
ORD00017,2023-07-06 16:01:00,2023-07-06 16:16:00,5.0,Chennai,Fruits,RID112,CUST4157,Night,Delivered,2.0,2023
ORD00018,2022-02-12 22:18:00,2022-02-12 22:58:00,30.0,Pune,Fruits,RID385,CUST6450,Night,Late,3.0,2022
ORD00019,2022-03-13 15:23:00,2022-03-13 15:48:00,15.0,Hyderabad,Dairy,RID476,CUST2306,Afternoon,Delivered,4.0,2022
ORD00020,2024-06-27 07:25:00,,,Pune,Personal Care,RID236,CUST5413,Morning,Cancelled,,2024
ORD00021,2023-12-21 20:48:00,2023-12-21 21:03:00,5.0,Mumbai,Frozen,RID259,CUST2495,Morning,Delivered,3.0,2023
ORD00022,2023-03-04 18:22:00,2023-03-04 18:32:00,0.0,Chennai,Bakery,RID485,CUST8554,Morning,Delivered,5.0,2023
ORD00023,2024-02-24 22:47:00,2024-02-24 22:57:00,0.0,Delhi,Frozen,RID442,CUST9164,Night,Delivered,3.0,2024
ORD00024,2023-10-11 07:42:00,2023-10-11 08:22:00,30.0,Bangalore,Frozen,RID346,CUST5931,Evening,Late,4.0,2023
ORD00025,2022-05-05 05:56:00,2022-05-05 06:16:00,10.0,Bangalore,Vegetables,RID471,CUST8777,Afternoon,Delivered,3.0,2022
ORD00026,2024-11-18 11:47:00,2024-11-18 11:57:00,0.0,Delhi,Beverages,RID247,CUST3811,Evening,Delivered,3.0,2024
ORD00027,2022-10-03 04:52:00,2022-10-03 05:02:00,0.0,Mumbai,Bakery,RID407,CUST9680,Morning,Delivered,4.0,2022
ORD00028,2024-01-01 20:22:00,2024-01-01 20:32:00,0.0,Mumbai,Household,RID250,CUST6534,Afternoon,Delivered,5.0,2024
ORD00029,2023-11-24 06:40:00,2023-11-24 06:55:00,5.0,Hyderabad,Fruits,RID159,CUST3049,Morning,Delivered,3.0,2023
ORD00030,2022-05-24 12:00:00,2022-05-24 12:10:00,0.0,Hyderabad,Bakery,RID108,CUST8400,Evening,Delivered,4.0,2022
ORD00031,2022-04-17 16:57:00,2022-04-17 17:17:00,10.0,Bangalore,Dairy,RID215,CUST2648,Night,Delivered,5.0,2022
ORD00032,2024-12-30 09:24:00,2024-12-30 09:44:00,10.0,Hyderabad,Household,RID198,CUST3200,Morning,Delivered,4.0,2024
ORD00033,2023-05-07 18:01:00,2023-05-07 18:11:00,0.0,Chennai,Household,RID260,CUST6699,Morning,Delivered,4.0,2023
ORD00034,2022-01-12 11:10:00,2022-01-12 11:20:00,0.0,Hyderabad,Beverages,RID227,CUST5555,Evening,Delivered,4.0,2022
ORD00035,2022-10-13 16:23:00,2022-10-13 16:33:00,0.0,Chennai,Beverages,RID363,CUST4354,Evening,Delivered,3.0,2022
ORD00036,2024-04-23 06:47:00,2024-04-23 07:07:00,10.0,Chennai,Dairy,RID416,CUST8683,Evening,Delivered,4.0,2024
ORD00037,2023-04-28 06:49:00,2023-04-28 07:09:00,10.0,Delhi,Vegetables,RID105,CUST2060,Night,Delivered,5.0,2023
ORD00038,2024-06-04 13:05:00,2024-06-04 13:15:00,0.0,Chennai,Dairy,RID215,CUST1190,Morning,Delivered,5.0,2024
ORD00039,2022-02-21 06:49:00,2022-02-21 06:59:00,0.0,Delhi,Household,RID322,CUST7709,Afternoon,Delivered,3.0,2022
ORD00040,2023-09-16 17:39:00,2023-09-16 18:19:00,30.0,Chennai,Frozen,RID250,CUST4009,Evening,Late,2.0,2023
ORD00041,2022-10-18 09:47:00,2022-10-18 10:02:00,5.0,Mumbai,Household,RID398,CUST8343,Evening,Delivered,3.0,2022
ORD00042,2024-05-19 13:22:00,2024-05-19 13:32:00,0.0,Mumbai,Bakery,RID412,CUST5780,Night,Delivered,5.0,2024
ORD00043,2023-01-24 14:05:00,2023-01-24 14:20:00,5.0,Chennai,Bakery,RID242,CUST6919,Evening,Delivered,5.0,2023
ORD00044,2024-11-16 14:00:00,2024-11-16 14:15:00,5.0,Bangalore,Frozen,RID413,CUST8509,Morning,Delivered,4.0,2024
ORD00045,2023-04-26 00:58:00,2023-04-26 01:08:00,0.0,Chennai,Vegetables,RID363,CUST4124,Night,Delivered,3.0,2023
ORD00046,2023-06-24 01:23:00,2023-06-24 01:33:00,0.0,Pune,Fruits,RID449,CUST5142,Evening,Delivered,4.0,2023
ORD00047,2022-09-09 03:20:00,2022-09-09 03:35:00,5.0,Hyderabad,Beverages,RID244,CUST9311,Evening,Delivered,2.0,2022
ORD00048,2022-02-23 12:59:00,,,Mumbai,Vegetables,RID417,CUST3838,Evening,Cancelled,,2022
ORD00049,2022-07-06 04:56:00,2022-07-06 05:11:00,5.0,Pune,Snacks,RID195,CUST8805,Afternoon,Delivered,2.0,2022
ORD00050,2023-11-15 10:21:00,2023-11-15 10:41:00,10.0,Pune,Bakery,RID291,CUST1580,Afternoon,Delivered,3.0,2023
ORD00051,2024-01-27 10:02:00,2024-01-27 10:22:00,10.0,Bangalore,Vegetables,RID185,CUST3744,Morning,Delivered,3.0,2024
ORD00052,2022-09-28 05:55:00,2022-09-28 06:05:00,0.0,Pune,Fruits,RID303,CUST7617,Night,Delivered,2.0,2022
ORD00053,2023-11-14 00:33:00,2023-11-14 00:58:00,15.0,Hyderabad,Bakery,RID349,CUST7665,Afternoon,Delivered,3.0,2023
ORD00054,2023-10-31 02:30:00,,,Mumbai,Beverages,RID195,CUST5611,Night,Cancelled,,2023
ORD00055,2022-12-11 03:56:00,2022-12-11 04:06:00,0.0,Mumbai,Fruits,RID251,CUST7833,Evening,Delivered,1.0,2022
ORD00056,2022-05-25 19:00:00,2022-05-25 19:15:00,5.0,Delhi,Beverages,RID164,CUST6536,Night,Delivered,5.0,2022
ORD00057,2024-05-23 02:36:00,2024-05-23 03:16:00,30.0,Hyderabad,Snacks,RID352,CUST9945,Evening,Late,3.0,2024
ORD00058,2022-12-20 04:26:00,2022-12-20 04:36:00,0.0,Mumbai,Snacks,RID214,CUST9808,Evening,Delivered,3.0,2022
ORD00059,2023-12-01 20:12:00,2023-12-01 20:22:00,0.0,Pune,Personal Care,RID316,CUST8164,Morning,Delivered,3.0,2023
ORD00060,2023-05-27 13:42:00,2023-05-27 13:57:00,5.0,Pune,Dairy,RID198,CUST5079,Night,Delivered,5.0,2023
ORD00061,2022-02-16 20:56:00,2022-02-16 21:06:00,0.0,Chennai,Bakery,RID112,CUST3914,Morning,Delivered,4.0,2022
ORD00062,2023-06-01 20:31:00,2023-06-01 20:41:00,0.0,Delhi,Frozen,RID496,CUST1698,Evening,Delivered,4.0,2023
ORD00063,2024-02-08 07:39:00,2024-02-08 07:49:00,0.0,Hyderabad,Household,RID383,CUST1717,Evening,Delivered,5.0,2024
ORD00064,2022-07-02 18:03:00,2022-07-02 18:58:00,45.0,Bangalore,Vegetables,RID198,CUST5491,Morning,Late,4.0,2022
ORD00065,2022-08-28 23:13:00,2022-08-28 23:28:00,5.0,Pune,Household,RID138,CUST3156,Morning,Delivered,5.0,2022
ORD00066,2024-06-12 04:43:00,2024-06-12 04:53:00,0.0,Chennai,Bakery,RID320,CUST5330,Evening,Delivered,4.0,2024
ORD00067,2023-01-01 04:01:00,2023-01-01 04:11:00,0.0,Hyderabad,Dairy,RID352,CUST2542,Afternoon,Delivered,4.0,2023
ORD00068,2023-04-18 20:55:00,2023-04-18 21:15:00,10.0,Mumbai,Snacks,RID104,CUST7172,Morning,Delivered,4.0,2023
ORD00069,2022-10-02 08:57:00,2022-10-02 09:07:00,0.0,Pune,Bakery,RID316,CUST2324,Night,Delivered,4.0,2022
ORD00070,2024-07-18 05:06:00,2024-07-18 05:16:00,0.0,Hyderabad,Frozen,RID266,CUST5186,Afternoon,Delivered,2.0,2024
ORD00071,2023-01-09 20:22:00,,,Chennai,Fruits,RID416,CUST4072,Evening,Cancelled,,2023
ORD00072,2024-05-31 02:48:00,2024-05-31 03:03:00,5.0,Chennai,Household,RID411,CUST1928,Afternoon,Delivered,4.0,2024
ORD00073,2022-11-18 19:03:00,2022-11-18 19:13:00,0.0,Mumbai,Vegetables,RID179,CUST6348,Night,Delivered,1.0,2022
ORD00074,2024-08-18 00:05:00,2024-08-18 00:20:00,5.0,Hyderabad,Dairy,RID113,CUST4486,Morning,Delivered,2.0,2024
ORD00075,2024-01-09 22:55:00,2024-01-09 23:10:00,5.0,Chennai,Personal Care,RID457,CUST8575,Night,Delivered,4.0,2024
ORD00076,2022-02-14 08:19:00,2022-02-14 08:29:00,0.0,Mumbai,Snacks,RID127,CUST5964,Morning,Delivered,3.0,2022
ORD00077,2024-01-18 13:37:00,2024-01-18 13:47:00,0.0,Bangalore,Dairy,RID311,CUST3779,Night,Delivered,4.0,2024
ORD00078,2023-02-07 11:04:00,2023-02-07 11:14:00,0.0,Chennai,Beverages,RID355,CUST5804,Evening,Delivered,2.0,2023
ORD00079,2024-03-22 09:38:00,2024-03-22 10:18:00,30.0,Mumbai,Vegetables,RID218,CUST2015,Morning,Late,5.0,2024
ORD00080,2022-10-02 01:01:00,2022-10-02 01:21:00,10.0,Mumbai,Vegetables,RID381,CUST5158,Morning,Delivered,5.0,2022
ORD00081,2022-06-06 19:34:00,2022-06-06 20:29:00,45.0,Bangalore,Household,RID198,CUST9702,Morning,Late,4.0,2022
ORD00082,2023-06-11 19:48:00,2023-06-11 19:58:00,0.0,Chennai,Vegetables,RID457,CUST2460,Evening,Delivered,4.0,2023
ORD00083,2023-08-10 05:18:00,2023-08-10 05:38:00,10.0,Pune,Vegetables,RID177,CUST7600,Afternoon,Delivered,5.0,2023
ORD00084,2022-12-18 18:27:00,2022-12-18 18:37:00,0.0,Pune,Dairy,RID387,CUST4419,Evening,Delivered,4.0,2022
ORD00085,2022-11-17 02:08:00,2022-11-17 02:18:00,0.0,Mumbai,Beverages,RID478,CUST5363,Morning,Delivered,4.0,2022
ORD00086,2022-10-28 11:06:00,2022-10-28 11:21:00,5.0,Pune,Dairy,RID211,CUST3814,Evening,Delivered,2.0,2022
ORD00087,2024-05-17 11:58:00,2024-05-17 12:08:00,0.0,Pune,Beverages,RID202,CUST7881,Afternoon,Delivered,4.0,2024
ORD00088,2024-02-01 14:01:00,2024-02-01 14:16:00,5.0,Mumbai,Snacks,RID407,CUST5261,Morning,Delivered,4.0,2024
ORD00089,2024-06-24 22:26:00,2024-06-24 22:46:00,10.0,Hyderabad,Dairy,RID232,CUST5892,Night,Delivered,3.0,2024
ORD00090,2024-12-31 12:10:00,2024-12-31 12:20:00,0.0,Delhi,Personal Care,RID168,CUST8941,Morning,Delivered,4.0,2024
